subgenre_name,number_of_appearances,main_genre,brand_id
electro house,84,16,2
idm,84,16,2
sufi,84,21,2
khaleeji,84,21,2
new beat,83,17,2
art pop,83,17,2
traditional music,83,21,2
k-rap,83,20,2
hard rock,82,18,2
hip house,82,16,2
r&b,82,22,2
minimalism,82,27,2
hard bop,82,24,2
classic rock,81,18,2
shoegaze,81,18,2
smooth jazz,80,24,2
alté,80,21,2
jazz fusion,80,24,2
madchester,79,18,2
mambo,79,19,2
colombian pop,78,17,2
comedy,78,26,2
acid rock,78,18,2
christian rock,77,18,2
cold wave,76,16,2
art rock,75,18,2
folk rock,74,18,2
brazilian jazz,74,24,2
space rock,74,18,2
thai pop,74,17,2
heavy metal,73,25,2
symphonic rock,73,18,2
v-pop,73,17,2
psychedelic pop,71,17,2
modern blues,71,29,2
industrial,71,18,2
dub techno,71,30,2
rave,70,16,2
jangle pop,70,17,2
roots rock,70,18,2
free jazz,70,24,2
urbano latino,69,19,2
glam metal,69,25,2
folk punk,69,28,2
pirate metal,69,25,2
nu metal,67,25,2
miami bass,67,20,2
opm,67,17,2
tango,67,19,2
mexican indie,67,19,2
speed metal,66,25,2
ebm,66,30,2
big beat,65,16,2
philly soul,65,22,2
classic blues,65,29,2
raï,65,21,2
drift phonk,64,16,2
alternative metal,64,25,2
screamo,64,25,2
funk pop,64,17,2
neomelodico,64,17,2
funk melody,63,26,2
exotica,63,23,2
anatolian rock,63,18,2
krautrock,63,18,2
bebop,63,24,2
drumstep,62,16,2
noise rock,62,18,2
drone,62,16,2
oyun havasi,62,17,2
brazilian rock,62,18,2
adult standards,61,23,2
vinahouse,61,16,2
ska punk,61,28,2
indian indie,61,18,2
dansband,61,17,2
traditional country,60,26,2
electronic rock,60,18,2
avant-garde,60,27,2
post-grunge,59,25,2
jazz blues,59,29,2
industrial metal,59,25,2
spoken word,59,20,2
punjabi hip hop,59,20,2
qawwali,59,21,2
cuarteto,59,19,2
country rock,58,18,2
industrial rock,58,18,2
cha cha cha,58,19,2
brazilian evangelical music,58,19,2
horrorcore,57,20,2
rap metal,57,25,2
electronic,57,16,2
hardcore hip hop,57,20,2
christian country,57,26,2
red dirt,57,26,2
reggaeton mexa,57,19,2
gangster rap,56,20,2
ragtime,56,24,2
medieval metal,56,25,2
post-rock,56,18,2
hip hop,55,20,2
gothic metal,55,25,2
nz reggae,55,24,2
newgrass,55,28,2
egyptian pop,55,17,2
mizrahi,55,17,2
dark trap,54,20,2
hindi indie,54,18,2
alternative dance,53,18,2
hiplife,53,21,2
indie rock,53,18,2
trova,53,19,2
mexican rock,53,18,2
witch house,52,16,2
desi hip hop,52,20,2
freestyle,52,20,2
nightcore,52,17,2
chillwave,52,18,2
devotional,52,28,2
rkt,52,19,2
funk de bh,51,16,2
emo rap,50,20,2
rock,50,18,2
latin,50,19,2
skate punk,50,25,2
deathrock,50,18,2
argentine trap,50,20,2
indonesian pop,50,17,2
progressive metal,50,25,2
crunk,49,20,2
southern rock,49,18,2
arena rock,49,18,2
guaracha,49,19,2
edm trap,49,16,2
taiwanese pop,49,17,2
sertanejo tradicional,49,26,2
malay,49,21,2
hardcore punk,49,25,2
j-rock,49,18,2
p-pop,49,17,2
stoner rock,48,18,2
grunge,48,18,2
funk consciente,48,19,2
corrido,47,19,2
death metal,47,25,2
vietnam indie,47,21,2
new rave,46,18,2
norwegian rap,46,20,2
space music,46,16,2
reggae en español,46,19,2
speedcore,46,16,2
groove metal,46,25,2
gufeng,46,21,2
cloud rap,45,20,2
soft rock,45,18,2
jersey club,45,17,2
texas country,45,26,2
reggaeton chileno,45,19,2
mexican hip hop,45,20,2
música mexicana,45,19,2
melodic death metal,45,25,2
bhajan,44,30,2
banda,44,19,2
agronejo,44,26,2
midwest emo,44,18,2
karadeniz folk,43,28,2
neoperreo,43,16,2
bachata pop,43,19,2
chilean trap,43,20,2
electronica,42,16,2
bass music,42,16,2
latin folk,42,19,2
city pop,41,17,2
boogie-woogie,41,29,2
deathcore,41,25,2
rock and roll,40,18,2
latin r&b,40,19,2
turreo,40,16,2
acoustic country,39,26,2
pagode baiano,39,19,2
reggae rock,39,18,2
chinese hip hop,39,20,2
soul blues,38,29,2
slowcore,38,28,2
indie jazz,38,24,2
nueva trova,38,19,2
emo pop,38,17,2
neofolk,38,28,2
ghazal,38,21,2
country blues,37,29,2
vaporwave,37,17,2
ranchera,37,19,2
seresta,37,28,2
country hip hop,36,20,2
cantopop,36,17,2
tamil pop,35,17,2
polka,35,23,2
mariachi,34,19,2
glitch,34,30,2
sludge metal,34,25,2
chilean mambo,34,21,2
thrash metal,34,25,2
chinese r&b,34,22,2
corridos tumbados,34,19,2
corridos bélicos,34,19,2
math rock,34,18,2
vietnamese lo-fi,34,21,2
funk rock,33,18,2
psychobilly,33,18,2
gujarati garba,33,21,2
electro corridos,33,16,2
norteño,33,19,2
experimental hip hop,33,20,2
experimental,33,18,2
djent,33,25,2
sholawat,33,22,2
melodic rap,32,20,2
alternative rock,32,18,2
smooth r&b,32,22,2
indie r&b,32,22,2
dark cabaret,32,28,2
grupera,32,19,2
emocore,32,18,2
pinoy r&b,32,22,2
vietnamese hip hop,32,20,2
hyphy,31,20,2
alternative hip hop,31,20,2
highlife,31,21,2
champeta,30,19,2
acoustic rock,30,18,2
honky tonk,30,18,2
cumbia sonidera,30,19,2
gregorian chant,30,27,2
arabic rap,30,20,2
hindi hip hop,30,20,2
melodic hardcore,30,25,2
k-rock,30,18,2
indorock,30,18,2
malay pop,30,17,2
memphis rap,29,20,2
deathstep,28,16,2
rap,28,20,2
pop country,28,26,2
kollywood,28,21,2
nerdcore,28,20,2
meme rap,28,20,2
harana,28,28,2
electro,27,20,2
easy listening,27,23,2
japanese indie,27,17,2
telugu pop,27,21,2
