artist_name,number_of_appearances,brand_id
The Jackson 5,120,2
The Greatest Showman Ensemble,119,2
Dave Stewart,119,2
Burna Boy,119,2
Dean Lewis,119,2
Christina Perri,119,2
Bradley Cooper,119,2
Kate Bush,119,2
The 1975,118,2
Sophie Ellis-Bextor,118,2
Ricky Martin,118,2
Zendaya,117,2
Kodaline,117,2
Eurythmics,117,2
Goodboys,117,2
Nirvana,117,2
Daryl Hall & John Oates,117,2
Stefflon Don,117,2
Keala Settle,116,2
Aqua,116,2
"Earth, Wind & Fire",116,2
Dido,115,2
Wizkid,115,2
Snow Patrol,115,2
Sugababes,114,2
Mýa,114,2
blink-182,114,2
Jack Harlow,114,2
Sam Feldt,113,2
Prince,113,2
Lionel Richie,113,2
Martin Solveig,113,2
KAROL G,113,2
Ozuna,113,2
Twenty One Pilots,113,2
Kelis,113,2
Saweetie,113,2
Emeli Sandé,112,2
Bob Marley & The Wailers,112,2
Foo Fighters,111,2
Lil' Kim,111,2
Skrillex,111,2
Blondie,111,2
Mary J. Blige,110,2
Måneskin,110,2
The Rolling Stones,110,2
The Goo Goo Dolls,110,2
Ashanti,109,2
Nickelback,109,2
Becky G,109,2
Mike Posner,108,2
Bee Gees,108,2
Kid Cudi,108,2
Idina Menzel,108,2
B.o.B,108,2
Will Smith,108,2
Armand Van Helden,107,2
MGMT,107,2
Nate Dogg,107,2
Rod Stewart,107,2
Katrina & The Waves,107,2
James Hype,106,2
Nathan Dawe,106,2
Sean Kingston,106,2
S Club,106,2
Maluma,106,2
Juicy J,105,2
R. Kelly,105,2
Kyla,105,2
Dizzee Rascal,105,2
Chris Stapleton,105,2
Chappell Roan,105,2
benny blanco,104,2
Jazzy,104,2
a-ha,104,2
Glass Animals,104,2
Miguel,104,2
DNCE,104,2
MIKA,104,2
A7S,103,2
Sam Fender,102,2
Toploader,102,2
Aitch,102,2
Alan Walker,101,2
Kehlani,101,2
Fred again..,101,2
Neil Diamond,101,2
Frank Ocean,101,2
fun.,101,2
Vengaboys,101,2
Normani,100,2
Girls Aloud,100,2
Bill Withers,100,2
Duke Dumont,100,2
