artist_name,number_of_appearances,brand_id
Julia Michaels,84,1
Dave Stewart,84,1
The Cranberries,83,1
Bizarrap,83,1
Eurythmics,83,1
Oliver Heldens,83,1
Red Hot Chili Peppers,82,1
Jamie xx,82,1
R3HAB,82,1
Sigala,82,1
C. Tangana,81,1
London Grammar,81,1
SG Lewis,81,1
Twenty One Pilots,81,1
Sam Feldt,80,1
Bruce Springsteen,80,1
Metro Boomin,80,1
DaBaby,80,1
Alejandro Sanz,80,1
Linkin Park,79,1
Blondie,79,1
Nelly,79,1
Lil Baby,79,1
Kings of Leon,79,1
Giveon,79,1
One Direction,79,1
Norah Jones,78,1
Lil Jon,78,1
Jamiroquai,78,1
Migos,78,1
Rod Stewart,78,1
Goodboys,78,1
Armin van Buuren,78,1
Reik,78,1
Vintage Culture,77,1
Seeb,77,1
Fatboy Slim,77,1
TINI,77,1
Missy Elliott,77,1
John Newman,77,1
The Smiths,77,1
New Order,77,1
Don Toliver,77,1
The Magician,76,1
Kelly Rowland,76,1
Elley Duhé,76,1
Icona Pop,76,1
Shouse,76,1
The Strokes,76,1
Zion & Lennox,76,1
2 Chainz,76,1
Nirvana,75,1
Prince,75,1
J. Cole,75,1
Imanbek,75,1
AC/DC,75,1
The Kid LAROI,75,1
Kim Petras,75,1
Sophie Ellis-Bextor,75,1
Gucci Mane,75,1
Adam Port,75,1
R.E.M.,74,1
Chris Lake,74,1
The Lumineers,74,1
Michael Kiwanuka,74,1
Wisin,74,1
Tinashe,74,1
Fall Out Boy,74,1
Tones And I,74,1
Bryan Adams,74,1
Joel Corry,74,1
Mike Posner,74,1
CamelPhat,73,1
Carly Rae Jepsen,73,1
Eliza Doolittle,73,1
Kelis,73,1
Blur,73,1
G-Eazy,73,1
James Blunt,73,1
MNEK,73,1
Bob Dylan,72,1
Chaka Khan,72,1
The Knocks,72,1
Aitana,72,1
Maria Becerra,72,1
The Beach Boys,72,1
Shaggy,72,1
Cher,72,1
Bomba Estéreo,72,1
Regard,72,1
The Blessed Madonna,72,1
Thomas Bangalter,72,1
Spice Girls,71,1
Yandel,71,1
Birdy,71,1
Louis Armstrong,71,1
Portugal. The Man,71,1
Natasha Bedingfield,71,1
The Neighbourhood,71,1
Ella Henderson,71,1
Keane,71,1
Burna Boy,71,1
Saweetie,71,1
H.E.R.,71,1
Tina Turner,71,1
JHAYCO,71,1
Backstreet Boys,70,1
Nat King Cole,70,1
Dr. Dre,70,1
X Ambassadors,70,1
Jessie Reyez,70,1
Green Day,70,1
Hailee Steinfeld,70,1
Chappell Roan,70,1
Keinemusik,70,1
John Summit,70,1
Gorgon City,69,1
Cheat Codes,69,1
Romeo Santos,69,1
Gente De Zona,69,1
2Pac,69,1
Diana Ross,69,1
Vance Joy,69,1
The Cardigans,69,1
Eve,69,1
M.I.A.,69,1
benny blanco,69,1
JVKE,69,1
TLC,68,1
Destiny's Child,68,1
Jasmine Thompson,68,1
Muse,68,1
MK,68,1
070 Shake,68,1
Beck,68,1
Pink Floyd,67,1
Dire Straits,67,1
Alanis Morissette,67,1
Santana,67,1
The Temper Trap,67,1
Milky Chance,67,1
Claptone,67,1
Dimitri Vegas & Like Mike,67,1
James Blake,67,1
T-Pain,67,1
Duran Duran,67,1
Stromae,67,1
The 1975,67,1
Julieta Venegas,67,1
Rhye,66,1
Bakermat,66,1
Kool & The Gang,66,1
Cigarettes After Sex,66,1
Adam Levine,66,1
Train,66,1
Ryan Lewis,66,1
