artist_name,artist_id,brand_id
The Gene Harris Trio Plus One,1Hip9ZRcYxatZ6c7B8A3N2,1
Jack McDuff,0GX5PlFlvOiEdNvA7YHJzs,1
Stanley Turrentine & The Three Sounds,5L4dvjVNvxfqZOY5X2944F,1
Lou Donaldson,063xkuRULzZu8fcoPR2rKR,1
Anita O'Day,5QGnprJtpZmk3OiDqspPlB,1
Art Tatum,3DtSOCXYU6o4EV0K1NgIKq,1
Ben Webster,34W7ZCX0LZeJd8q6boKGOk,1
Red Callender,25l7ALS0IGoUzvsfYtcIRi,1
Bill Douglass,1shwhY3Rqo1z8BPnTLWpPN,1
Art Tatum Trio,2nO44DkhxuCD74e0eb9Mm0,1
Art Tatum & Ben Webster,41tOGCyZ5DQ9RxmhOvViAj,1
Roy Eldridge,4RvXA7BDgqNgGDjsSSJnPc,1
John Simmons,3aj8NPpdh8d5DDQmsu3Xx9,1
Alvin Stoller,3fnw6uRt2w26bQrNLM5Mnk,1
Jimmy McHugh,7r1YNrUHsmDmcVCg8P4piG,1
Michel Petrucciani,13kHQ586h4Lm9iwVyS2b3K,1
Niels-Henning Ørsted Pedersen,673nUEedXxOIdNlPvxXLiM,1
Miroslav Vitous,0ztzt6g8n0NBcnwMGwMlxD,1
Louis Petrucciani,1Np8zjERTVYpzVJ8pM0XWd,1
Eddy Louiss,5VvhIqvoeNbhBlm4ShacXt,1
Tony Petrucciani,56ONUc5YSnA0ga7MZpJsWo,1
Lenny White,478WAnkTtQach00La2gvxR,1
Sangoma Everett,34nNJJaPNFVTGD3Wz1hlGF,1
Trio Petrucciani,5O0PvLFEvy0iYUMrog7CM6,1
Stéphane Grappelli,6AfbDYupHV5e6nse9W6tKG,1
Anthony Jackson,4jSvNq6yedPhkC4p3zlznC,1
Steve Gadd,42zoEf7IcpDSvdQjcrSpHl,1
Serge Forté,6w8Bs4Mv00keuZAUpldGe8,1
Mino Cinelu,3u5p7C1CVuJEjLJ1LGlHzj,1
The Michel Petrucciani Trio,5iaGFMnkbqQbgS1muhSrNu,1
Tommy Flanagan,6dUZplQfg5blo0h9HiJ94d,1
Paul Chambers,0M1UOBJZ9tcKJbrbnVlHZG,1
Pepper Adams,7fSCq6nVoFiyBqFD8fQFWR,1
Kenny Burrell,1sdyFmN4bVOcuFDpTVsxBB,1
Kenny Clarke,7xwlN7fhoOwNgDmRTwYZOa,1
Hank Jones,0BhFfJmScFj7OzqVaDqnSv,1
Yasuko Agawa,5kk6wMgDfumWGwd0GDvvk2,1
Red Mitchell,37qczsM1eZwCtxy0U5n0fk,1
Booker Ervin,3ZppcUE7tHnE6SzUR4ipSy,1
Coleman Hawkins,0JM134st8VY7Ld9T2wQiH0,1
Klaus Doldinger,2nwNBRZ0DZlRAQBBO0Pdym,1
Kenny Dorham,2fMvylhnE23sAlyePKK8er,1
Curtis Fuller Quintet,34508dX6EdFdskeHYJdnF1,1
Benny Carter,5dlCVmfRbWVGOJYHzGyk32,1
Zoot Sims,1pwr5rTWLVfqhvHfB7Reap,1
Clark Terry,62xdwGEOLoGQxKUqoJusyU,1
Joe Pass,4DuZTASH5eSyd0K73W6fuZ,1
Keter Betts,6rks1436lPBt6lPPSJ9nJh,1
Bobby Durham,1xOCzN0vNLPS8DQPVKCFPh,1
Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,1
Tommy Flanagan Trio,5N8jNQsfW9SHBkhVqqnXbU,1
Val Valentin,5oVvHhCzpZKD0qP2zImofR,1
Mary Osborne,2ajB78TE1m8hkV8JOShRjr,1
Jo Jones,5iCN8xlg1r3uXDW5yLFHmJ,1
Freddie Hubbard,0fTHKjepK5HWOrb2rkS5Em,1
Ahmed Abdul-Malik,5xdQf8ZY4CFEtt0LKztj32,1
Roy Eldridge (Trumpet),7Jhk2uPWjS1GF9bkT4DHC5,1
