genre,number_of_appearances,brand_id
Electronic,19044,3
Pop,14242,3
Hip Hop,9747,3
Rock,8973,3
Latin,8207,3
R&B,5489,3
World/Traditional,5321,3
Jazz,2930,3
Country,2741,3
Metal,2709,3
Classical,2424,3
Easy listening,2304,3
Folk/Acoustic,1669,3
Blues,885,3
New age,780,3
