subgenre_name,number_of_appearances,main_genre,brand_id
melbourne bounce,147,1,1
garage rock,146,3,1
brazilian trap,146,4,1
pagode,145,4,1
mexican rock,145,3,1
egyptian pop,145,2,1
corrido,145,4,1
trap funk,145,1,1
free jazz,144,8,1
manele,144,5,1
hard house,143,1,1
uk drill,142,2,1
salsa romantica,142,4,1
italian singer-songwriter,142,3,1
cloud rap,142,5,1
j-dance,142,2,1
post-hardcore,141,3,1
norteño,141,4,1
jangle pop,140,2,1
canzone napoletana,140,6,1
indietronica,140,2,1
folk pop,139,13,1
haryanvi pop,139,2,1
flamenco urbano,138,4,1
surf rock,138,3,1
tamil dance,137,3,1
rocksteady,136,3,1
avant-garde,136,10,1
iskelmä,135,6,1
bongo flava,135,6,1
chamber pop,134,2,1
pop punk,134,3,1
latin r&b,133,4,1
doo-wop,133,15,1
christian hip hop,132,5,1
bass music,131,1,1
experimental,131,3,1
gnawa,131,6,1
guaracha,129,4,1
christian pop,128,2,1
west coast hip hop,126,5,1
música tropical,126,4,1
gospel r&b,126,7,1
schlagerparty,126,3,1
folk,125,13,1
ghazal,125,6,1
jersey club,125,2,1
requiem,124,10,1
art pop,123,2,1
gothic country,121,13,1
mizrahi,120,2,1
slowcore,120,13,1
soca,119,5,1
pop worship,119,2,1
trova,119,4,1
vallenato,119,4,1
colombian pop,118,2,1
rhumba,118,4,1
vocaloid,118,2,1
funk carioca,117,5,1
quiet storm,117,7,1
kayokyoku,116,2,1
southern hip hop,116,5,1
reggaeton mexa,116,4,1
progressive rock,115,3,1
exotica,115,11,1
electro swing,115,11,1
timba,115,4,1
rkt,115,4,1
horrorcore,114,5,1
ragtime,113,8,1
g-funk,113,5,1
hardcore techno,113,2,1
bachata,113,4,1
ebm,113,14,1
gabber,113,1,1
trap latino,112,4,1
neomelodico,112,2,1
finnish rock,112,3,1
motown,111,7,1
qawwali,111,6,1
brega,111,12,1
brazilian rock,110,3,1
industrial,110,3,1
happy hardcore,110,2,1
indie jazz,110,8,1
ccm,110,2,1
soul,109,7,1
fado,109,4,1
modern blues,109,15,1
baroque pop,109,2,1
