artist_name,number_of_appearances,brand_id
Julia Michaels,84,10
Dave Stewart,84,10
The Cranberries,83,10
Bizarrap,83,10
Eurythmics,83,10
Oliver Heldens,83,10
Red Hot Chili Peppers,82,10
Jamie xx,82,10
R3HAB,82,10
Sigala,82,10
C. Tangana,81,10
London Grammar,81,10
SG Lewis,81,10
Twenty One Pilots,81,10
Sam Feldt,80,10
Bruce Springsteen,80,10
Metro Boomin,80,10
DaBaby,80,10
Alejandro Sanz,80,10
Linkin Park,79,10
Blondie,79,10
Nelly,79,10
Lil Baby,79,10
Kings of Leon,79,10
Giveon,79,10
One Direction,79,10
Norah Jones,78,10
Lil Jon,78,10
Jamiroquai,78,10
Migos,78,10
Rod Stewart,78,10
Goodboys,78,10
Armin van Buuren,78,10
Reik,78,10
Vintage Culture,77,10
Seeb,77,10
Fatboy Slim,77,10
TINI,77,10
Missy Elliott,77,10
John Newman,77,10
The Smiths,77,10
New Order,77,10
Don Toliver,77,10
The Magician,76,10
Kelly Rowland,76,10
Elley Duhé,76,10
Icona Pop,76,10
Shouse,76,10
The Strokes,76,10
Zion & Lennox,76,10
2 Chainz,76,10
Nirvana,75,10
Prince,75,10
J. Cole,75,10
Imanbek,75,10
AC/DC,75,10
The Kid LAROI,75,10
Kim Petras,75,10
Sophie Ellis-Bextor,75,10
Gucci Mane,75,10
Adam Port,75,10
R.E.M.,74,10
Chris Lake,74,10
The Lumineers,74,10
Michael Kiwanuka,74,10
Wisin,74,10
Tinashe,74,10
Fall Out Boy,74,10
Tones And I,74,10
Bryan Adams,74,10
Joel Corry,74,10
Mike Posner,74,10
CamelPhat,73,10
Carly Rae Jepsen,73,10
Eliza Doolittle,73,10
Kelis,73,10
Blur,73,10
G-Eazy,73,10
James Blunt,73,10
MNEK,73,10
Bob Dylan,72,10
Chaka Khan,72,10
The Knocks,72,10
Aitana,72,10
Maria Becerra,72,10
The Beach Boys,72,10
Shaggy,72,10
Cher,72,10
Bomba Estéreo,72,10
Regard,72,10
The Blessed Madonna,72,10
Thomas Bangalter,72,10
Spice Girls,71,10
Yandel,71,10
Birdy,71,10
Louis Armstrong,71,10
Portugal. The Man,71,10
Natasha Bedingfield,71,10
The Neighbourhood,71,10
Ella Henderson,71,10
Keane,71,10
Burna Boy,71,10
Saweetie,71,10
H.E.R.,71,10
Tina Turner,71,10
JHAYCO,71,10
Backstreet Boys,70,10
Nat King Cole,70,10
Dr. Dre,70,10
X Ambassadors,70,10
Jessie Reyez,70,10
Green Day,70,10
Hailee Steinfeld,70,10
Chappell Roan,70,10
Keinemusik,70,10
John Summit,70,10
Gorgon City,69,10
Cheat Codes,69,10
Romeo Santos,69,10
Gente De Zona,69,10
2Pac,69,10
Diana Ross,69,10
Vance Joy,69,10
The Cardigans,69,10
Eve,69,10
M.I.A.,69,10
benny blanco,69,10
JVKE,69,10
TLC,68,10
Destiny's Child,68,10
Jasmine Thompson,68,10
Muse,68,10
MK,68,10
070 Shake,68,10
Beck,68,10
Pink Floyd,67,10
Dire Straits,67,10
Alanis Morissette,67,10
Santana,67,10
The Temper Trap,67,10
Milky Chance,67,10
Claptone,67,10
Dimitri Vegas & Like Mike,67,10
James Blake,67,10
T-Pain,67,10
Duran Duran,67,10
Stromae,67,10
The 1975,67,10
Julieta Venegas,67,10
Rhye,66,10
Bakermat,66,10
Kool & The Gang,66,10
Cigarettes After Sex,66,10
Adam Levine,66,10
Train,66,10
Ryan Lewis,66,10
Sech,66,10
Robyn,65,10
Jessie J,65,10
Steve Lacy,65,10
Diddy,65,10
George Ezra,65,10
WILLOW,65,10
Peso Pluma,65,10
Juicy J,65,10
Benson Boone,65,10
