subgenre_name,number_of_appearances,main_genre,brand_id
melbourne bounce,147,1,10
garage rock,146,3,10
brazilian trap,146,4,10
pagode,145,4,10
mexican rock,145,3,10
egyptian pop,145,2,10
corrido,145,4,10
trap funk,145,1,10
free jazz,144,8,10
manele,144,5,10
hard house,143,1,10
uk drill,142,2,10
salsa romantica,142,4,10
italian singer-songwriter,142,3,10
cloud rap,142,5,10
j-dance,142,2,10
post-hardcore,141,3,10
norteño,141,4,10
jangle pop,140,2,10
canzone napoletana,140,6,10
indietronica,140,2,10
folk pop,139,13,10
haryanvi pop,139,2,10
flamenco urbano,138,4,10
surf rock,138,3,10
tamil dance,137,3,10
rocksteady,136,3,10
avant-garde,136,10,10
iskelmä,135,6,10
bongo flava,135,6,10
chamber pop,134,2,10
pop punk,134,3,10
latin r&b,133,4,10
doo-wop,133,15,10
christian hip hop,132,5,10
bass music,131,1,10
experimental,131,3,10
gnawa,131,6,10
guaracha,129,4,10
christian pop,128,2,10
west coast hip hop,126,5,10
música tropical,126,4,10
gospel r&b,126,7,10
schlagerparty,126,3,10
folk,125,13,10
ghazal,125,6,10
jersey club,125,2,10
requiem,124,10,10
art pop,123,2,10
gothic country,121,13,10
mizrahi,120,2,10
slowcore,120,13,10
soca,119,5,10
pop worship,119,2,10
trova,119,4,10
vallenato,119,4,10
colombian pop,118,2,10
rhumba,118,4,10
vocaloid,118,2,10
funk carioca,117,5,10
quiet storm,117,7,10
kayokyoku,116,2,10
southern hip hop,116,5,10
reggaeton mexa,116,4,10
progressive rock,115,3,10
exotica,115,11,10
electro swing,115,11,10
timba,115,4,10
rkt,115,4,10
horrorcore,114,5,10
ragtime,113,8,10
g-funk,113,5,10
hardcore techno,113,2,10
bachata,113,4,10
ebm,113,14,10
gabber,113,1,10
trap latino,112,4,10
neomelodico,112,2,10
finnish rock,112,3,10
motown,111,7,10
qawwali,111,6,10
brega,111,12,10
brazilian rock,110,3,10
industrial,110,3,10
happy hardcore,110,2,10
indie jazz,110,8,10
ccm,110,2,10
soul,109,7,10
fado,109,4,10
modern blues,109,15,10
baroque pop,109,2,10
música mexicana,109,4,10
electro house,108,1,10
vaporwave,108,2,10
medieval,108,10,10
skate punk,107,9,10
britpop,106,2,10
indie,106,2,10
ska punk,106,13,10
psychedelic pop,106,2,10
rockabilly,105,3,10
proto-punk,104,3,10
malaysian pop,104,2,10
psytrance,103,1,10
harana,103,13,10
swedish ballads,102,3,10
arrocha,102,12,10
forró,102,4,10
reggae en español,102,4,10
brega funk,102,2,10
soul jazz,101,8,10
electronic,101,1,10
mambo,101,4,10
mexican hip hop,100,5,10
album rock,100,3,10
noise rock,99,3,10
breakcore,99,5,10
jazz blues,98,15,10
turreo,98,1,10
cha cha cha,98,4,10
miami bass,98,5,10
hands up,98,2,10
new jack swing,97,7,10
sertanejo universitário,97,4,10
spoken word,97,5,10
mariachi,97,4,10
ranchera,97,4,10
mahraganat,97,2,10
traditional music,96,6,10
dansktop,96,12,10
frenchcore,95,9,10
neoperreo,95,1,10
afro adura,94,6,10
champeta,93,4,10
emo,93,3,10
rave,93,1,10
piseiro,93,12,10
asakaa,92,6,10
art rock,91,3,10
nueva trova,91,4,10
krautrock,90,3,10
progressive metal,90,9,10
bangla pop,90,2,10
egyptian hip hop,90,5,10
hip house,89,1,10
corridos bélicos,89,4,10
disco polo,89,2,10
axé,88,4,10
grupera,88,4,10
indie r&b,86,7,10
experimental hip hop,86,5,10
europop,86,2,10
roots rock,85,3,10
acid rock,85,3,10
r&b,85,7,10
deathstep,85,1,10
glam rock,84,3,10
melodic hardcore,84,9,10
thai rock,84,3,10
djent,84,9,10
reggaeton chileno,83,4,10
argentine trap,82,5,10
math rock,81,3,10
christian alternative rock,81,3,10
malayalam pop,80,2,10
thai trap,80,5,10
new beat,79,2,10
corridos tumbados,79,4,10
acoustic pop,78,2,10
cuarteto,78,4,10
bluegrass,77,12,10
indorock,77,3,10
african gospel,77,6,10
classic rock,76,3,10
drumstep,76,1,10
symphonic rock,75,3,10
rap metal,75,9,10
deathrock,75,3,10
screamo,75,9,10
chilean trap,75,5,10
funk consciente,75,4,10
madchester,74,3,10
urbano latino,74,4,10
neue deutsche welle,73,3,10
hard rock,72,3,10
philly soul,72,7,10
malay rap,72,5,10
sovietwave,71,1,10
christian rock,70,3,10
classic blues,70,15,10
christian folk,70,12,10
gothic metal,70,9,10
sierreño,70,12,10
funk de bh,70,1,10
new rave,69,3,10
melodic metal,69,9,10
agronejo,69,12,10
gufeng,69,6,10
folk rock,68,3,10
cumbia sonidera,68,4,10
oyun havasi,68,2,10
alternative dance,67,3,10
big beat,67,1,10
post-grunge,67,9,10
mollywood,67,2,10
memphis rap,66,5,10
tamil hip hop,66,5,10
nu metal,65,9,10
freestyle,65,5,10
tamil indie,65,6,10
kannada pop,65,2,10
moroccan chaabi,65,6,10
folklore argentino,64,4,10
deathcore,64,9,10
hip hop,63,5,10
glam metal,62,9,10
funk melody,62,12,10
country rock,61,3,10
