genre,number_of_appearances,brand_id
Electronic,28853,10
Pop,18628,10
Rock,11806,10
Latin,10755,10
Hip Hop,10357,10
World/Traditional,10093,10
R&B,6849,10
Jazz,5641,10
Metal,3528,10
Classical,3481,10
Easy listening,3192,10
Country,2002,10
Folk/Acoustic,1777,10
New age,1253,10
Blues,740,10
