artist_name,artist_id,brand_id
The Gene Harris Trio Plus One,1Hip9ZRcYxatZ6c7B8A3N2,10
Jack McDuff,0GX5PlFlvOiEdNvA7YHJzs,10
Stanley Turrentine & The Three Sounds,5L4dvjVNvxfqZOY5X2944F,10
Lou Donaldson,063xkuRULzZu8fcoPR2rKR,10
Anita O'Day,5QGnprJtpZmk3OiDqspPlB,10
Art Tatum,3DtSOCXYU6o4EV0K1NgIKq,10
Ben Webster,34W7ZCX0LZeJd8q6boKGOk,10
Red Callender,25l7ALS0IGoUzvsfYtcIRi,10
Bill Douglass,1shwhY3Rqo1z8BPnTLWpPN,10
Art Tatum Trio,2nO44DkhxuCD74e0eb9Mm0,10
Art Tatum & Ben Webster,41tOGCyZ5DQ9RxmhOvViAj,10
Roy Eldridge,4RvXA7BDgqNgGDjsSSJnPc,10
John Simmons,3aj8NPpdh8d5DDQmsu3Xx9,10
Alvin Stoller,3fnw6uRt2w26bQrNLM5Mnk,10
Jimmy McHugh,7r1YNrUHsmDmcVCg8P4piG,10
Michel Petrucciani,13kHQ586h4Lm9iwVyS2b3K,10
Niels-Henning Ørsted Pedersen,673nUEedXxOIdNlPvxXLiM,10
Miroslav Vitous,0ztzt6g8n0NBcnwMGwMlxD,10
Louis Petrucciani,1Np8zjERTVYpzVJ8pM0XWd,10
Eddy Louiss,5VvhIqvoeNbhBlm4ShacXt,10
Tony Petrucciani,56ONUc5YSnA0ga7MZpJsWo,10
Lenny White,478WAnkTtQach00La2gvxR,10
Sangoma Everett,34nNJJaPNFVTGD3Wz1hlGF,10
Trio Petrucciani,5O0PvLFEvy0iYUMrog7CM6,10
Stéphane Grappelli,6AfbDYupHV5e6nse9W6tKG,10
Anthony Jackson,4jSvNq6yedPhkC4p3zlznC,10
Steve Gadd,42zoEf7IcpDSvdQjcrSpHl,10
Serge Forté,6w8Bs4Mv00keuZAUpldGe8,10
Mino Cinelu,3u5p7C1CVuJEjLJ1LGlHzj,10
The Michel Petrucciani Trio,5iaGFMnkbqQbgS1muhSrNu,10
Tommy Flanagan,6dUZplQfg5blo0h9HiJ94d,10
Paul Chambers,0M1UOBJZ9tcKJbrbnVlHZG,10
Pepper Adams,7fSCq6nVoFiyBqFD8fQFWR,10
Kenny Burrell,1sdyFmN4bVOcuFDpTVsxBB,10
Kenny Clarke,7xwlN7fhoOwNgDmRTwYZOa,10
Hank Jones,0BhFfJmScFj7OzqVaDqnSv,10
Yasuko Agawa,5kk6wMgDfumWGwd0GDvvk2,10
Red Mitchell,37qczsM1eZwCtxy0U5n0fk,10
Booker Ervin,3ZppcUE7tHnE6SzUR4ipSy,10
Coleman Hawkins,0JM134st8VY7Ld9T2wQiH0,10
Klaus Doldinger,2nwNBRZ0DZlRAQBBO0Pdym,10
Kenny Dorham,2fMvylhnE23sAlyePKK8er,10
Curtis Fuller Quintet,34508dX6EdFdskeHYJdnF1,10
Benny Carter,5dlCVmfRbWVGOJYHzGyk32,10
Zoot Sims,1pwr5rTWLVfqhvHfB7Reap,10
Clark Terry,62xdwGEOLoGQxKUqoJusyU,10
Joe Pass,4DuZTASH5eSyd0K73W6fuZ,10
Keter Betts,6rks1436lPBt6lPPSJ9nJh,10
Bobby Durham,1xOCzN0vNLPS8DQPVKCFPh,10
Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,10
Tommy Flanagan Trio,5N8jNQsfW9SHBkhVqqnXbU,10
Val Valentin,5oVvHhCzpZKD0qP2zImofR,10
Mary Osborne,2ajB78TE1m8hkV8JOShRjr,10
Jo Jones,5iCN8xlg1r3uXDW5yLFHmJ,10
Freddie Hubbard,0fTHKjepK5HWOrb2rkS5Em,10
Ahmed Abdul-Malik,5xdQf8ZY4CFEtt0LKztj32,10
Roy Eldridge (Trumpet),7Jhk2uPWjS1GF9bkT4DHC5,10
Tommy Flanagan - Coleman Hawkins (Tenor Sax),5TVkZEPJIWe7Gmi6cLjOti,10
Jo Jones (Drums),2FBE3YbUmKH6tSPfCw2gtF,10
Peter Washington,6t5ibafOkoWm4GveO6lBzp,10
Lewis Nash,2v2TVDl1P2YDSy9jXntWFt,10
Gene Ammons,338mC0yGyX0C9of8QMJ5hK,10
George Mraz,6o1OpKGBkE7eSYjtaMfQKe,10
Elvin Jones,4dUMhhUjQ2YcNTvab29hYF,10
Roy Haynes Quartet,4Gtcxqk0DjMyqqvYBr1RWX,10
Dusko Goyokovich,1eYvXl0fIObw5c68czhmN0,10
Michele Hendricks,5nYHrOMLF9v5TiyfMxZs59,10
Brian Lynch,2jOWJM2ILZD1NTyORxsduI,10
Robin Eubanks,6NXVcZgtLD70Oey2je4jA5,10
"David ""Fathead"" Newman",5OPNYwuIto3q4ac46rIIZC,10
The J.J. Johnson Quintet,6cn4iY7Nx1BJoZZ9UmJodQ,10
Rodney Jones,6zudeEfsUpQ6R9WW8abFMi,10
Tommy Flanagan Quartet,0KrzAtsrzV661UclOv9otc,10
Dave Pike,64Qwp26Lb2beXJzBs0qBpl,10
Benny Golson,78NDaMzmcDKjt7mkXs7AuG,10
Jimmy Heath Orchestra,4x8GuFt4EeCph7qaEuUHyh,10
Sonny Rollins,1VEzN9lxvG6KPR3QQGsebR,10
Bennie Wallace,3BM6jep0XGjL04M443AupH,10
Don Byrd,0YjgTLKlLfiaq99C2tbcqh,10
Gigi Gryce,60pVDktf5EH4d3IxkHozpa,10
Jaki Byard,7pZNp3BIssAHQ9jJZssq3Y,10
Johnny Hodges,7lRFrrINQTY35g8hq0kXY5,10
Art Ellefson,5YObuJ82vR61YpcEEB8sBr,10
Paul Chambers Quintet,42ckVhl96fQSAXsR2Gm1My,10
Tal Farlow,0dIXV3ffgWlMcnywNIy0Wf,10
Red Rodney,4tIG3p7d799xi5qJbMddl8,10
Ira Sullivan,4tAgCULCgQOWm2GOc6K3nb,10
Oscar Pettiford,3DuKJapiJ2AUvoIJq1ZJFb,10
Philly Joe Jones,4WhH68K75YKSAwHAqWFpi1,10
Frank Wess,1yy6FH5FQX3RQqxnjMPRBn,10
Slide Hampton and His Orchestra,6L75flsvKq9BCsZlqvT1IQ,10
Milt Jackson Sextet,3WAoe9Q1khAShvQzbQHKOe,10
Joe Henderson,3BG0nwVh3Gc7cuT4XdsLtt,10
Chaka Khan,6mQfAAqZGBzIfrmlZCeaYT,10
"Harry ""Sweets"" Edison Quintet",1o5BNceADrkJ70VPmiflXq,10
Les Spann,5G09mW0CtNNy6GsvXefkut,10
Jimmy Hamilton,2DyjqJKeLalliPzVY3jkiO,10
Attila Zoller,50bsdKkUBCPSIAirpRXmEV,10
"Eddie ""Lockjaw"" Davis",0gNn3uUyIEErdQthThI51i,10
山岡未樹&ベニー・ゴルソン,2cntE00YzqOVYiWhXvOB7M,10
Milt Jackson,23i8EixXKG0EWGRCfHlUGN,10
Scott Hamilton,7sBx432MZn1MzHeYHAA5qr,10
Bill Evans Trio,3VEG6gxFIMfl4Cdog26avS,10
Bill Evans,4jXfFzeP66Zy67HM2mvIIF,10
Scott LaFaro,4g7uUySyORXh2KgDEhgxXa,10
Paul Motian,4VIPZJwfn4EGbJxYVHJ0WX,10
Eddie Gómez,6HBVTGmPHytchERPb8YGPr,10
Chet Baker & Bill Evans,0CKzlWvLYSvmVUmKRD64Rm,10
Amelia Evans,2Ndxg70BOniNRzU6KhB72l,10
Ben Robertson,7zL7k6ewoFxM7jCCQN99wo,10
Bob Sedergreen,4VE3n1AoNS38E3AVuBtQ3p,10
Tony Floyd,2IBYq9Wild6n4YBU2h2rVh,10
Jeremy Steig,0ffBb2SCAQzfwrs1PoYSiW,10
Tony Scott & The All Stars,16cSUKPpDNezmx9B3dFQuM,10
Miles Davis,0kbYTNQb4Pb1rPbbaF0pT4,10
Marc Johnson,3AT9157jK9F2gMSViMdRUH,10
Joe LaBarbera,6cNZnJFHmf0jFAiXFo1L2F,10
Tony Bennett,2lolQgalUvZDfp5vvVtTYV,10
J.J. Johnson,3hZ5sdhYTvgrmXIwtVwqmS,10
Kai Winding,1kYYk4lJ7ZWbyy3zDYOl6h,10
Gene Quill,28JzKOW8khxaORynWl8eYD,10
Jimmy Knepper,4MCNElwTJzuZgfIIZhB2Yo,10
Chet Baker,3rxeQlsv0Sc2nyYaZ5W71T,10
Bill Evans,2PyoC81N6Uz8xs5Lzaquje,10
Bob Brookmeyer,3aM9H4QBnPUo6mnNVufAtN,10
Monica Zetterlund,7mvvG63CNSY93JWAJ37rnD,10
Jack DeJohnette,7rDjbKTLlpNYJRWMm7QVxU,10
Bill Evans and Jerry Wald,7z2Ar9sVKamiYx0H3WC5tW,10
Jim Hall,5pMmqpG3HsoJ6EDDoXGXEr,10
Lee Konitz,4YNvbaOaqp5pzC5US5t48k,10
Wayne Marsh,2UTw61S0dt7Z4OUvyu1PEb,10
